Progress,Duration (in seconds),Finished,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_4_TEXT,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17,Q18,Q19_12,Q18,Q21,Q22,Q23,Q24,SC0,Q11_4_TEXT - Parent Topics,Q11_4_TEXT - Topics
100,518,1,2,5,2,2,1,,5,4,1,5,,1,4,2,2,1,2,2,1,1,15,70,"1,2",2,1,,,50,,
100,149,1,2,5,2,2,2,,6,1,1,1,,1,1,2,3,2,2,1,1,1,16,95,2,3,1,,,44,,
100,1394,1,1,5,2,2,2,,4,1,1,4,Order takeouts and pick up at Gilman parking structure ,1,4,1,3,1,3,2,1,1,13,49,"1,2",2,1,,,49,,Unknown
100,200,1,1,5,2,2,1,,6,1,2,1,,1,1,2,3,2,2,2,1,1,13,70,1,1,1,,,45,,
100,116,1,1,5,2,2,2,,4,2,2,1,,1,3,2,2,1,2,1,1,1,16,70,2,1,1,,,45,,
100,119,1,2,5,2,2,2,,4,1,2,1,,1,1,1,1,2,3,1,1,2,,,,,,1,1,28,,
100,143,1,2,5,2,2,1,,4,2,1,5,,1,2,2,2,1,2,1,1,1,13,65,"1,2,3,6",2,1,,,58,,
100,6404,1,1,5,2,2,2,,4,4,3,1,,2,2,4,1,1,2,2,1,2,,,,,,1,1,42,,
100,154,1,2,5,2,2,3,,4,3,1,5,,1,1,4,1,1,3,1,1,2,,,,,,2,2,39,,
100,137,1,1,5,2,2,1,,6,2,2,1,,1,2,1,2,1,4,2,1,1,13,75,2,1,1,,,45,,
100,101,1,2,5,2,1,6,4,6,1,1,5,,1,1,2,2,2,2,1,1,2,,,,,,1,1,45,,
100,128,1,2,5,2,2,1,,4,3,2,1,,1,2,1,2,1,2,1,1,1,15,65,"1,2",1,1,,,44,,
100,247,1,2,5,2,2,1,,4,1,1,5,,1,4,2,1,1,3,1,1,1,13,60,"1,2",3,1,,,55,,
100,212,1,1,5,3,2,3,,4,1,1,5,,1,3,1,1,1,3,1,1,1,16,49,"1,2",2,2,,,49,,
100,144,1,2,5,2,2,2,,6,1,1,2,,1,2,2,2,1,2,1,5,1,13,95,2,1,1,,,52,,
100,78,1,1,5,2,2,1,,6,1,2,1,,1,1,1,1,1,1,1,1,2,,,,,,1,2,45,,
100,146,1,2,5,2,2,1,,4,1,2,1,,1,3,2,2,1,3,1,1,2,,,,,,1,1,41,,
100,89,1,2,5,2,2,1,,4,1,1,1,,1,2,2,2,2,2,2,1,2,,,,,,2,2,33,,
100,132,1,2,5,2,2,1,,5,1,1,1,,1,2,2,1,1,1,1,5,1,16,75,2,2,2,,,51,,
100,160,1,2,5,2,2,1,,5,2,2,1,,1,2,1,2,1,3,1,1,1,13,79,"1,2",2,1,,,47,,
100,194,1,1,5,2,2,2,,6,1,2,1,,1,2,2,2,1,3,1,1,2,,,,,,1,3,44,,
100,136,1,1,5,2,2,1,,6,1,1,1,,1,2,2,1,1,2,1,1,2,,,,,,1,1,44,,
100,121,1,2,5,2,2,1,,4,1,2,1,,1,2,2,3,1,2,2,1,2,,,,,,1,2,40,,
100,140,1,2,5,2,2,1,,6,1,2,5,,1,2,1,2,1,2,1,5,1,15,70,1,1,1,,,54,,
100,93,1,1,5,2,2,1,,4,1,1,5,,1,2,1,3,2,3,1,1,2,,,,,,1,1,41,,
100,157,1,1,5,2,2,2,,4,1,2,1,,2,2,3,2,1,1,1,1,1,13,70,1,1,2,,,48,,
100,158,1,2,5,2,2,1,,4,1,2,1,,1,4,2,1,2,2,1,1,1,13,57,3,2,1,,,51,,
100,270,1,2,5,2,2,1,,5,3,1,1,,1,2,1,1,1,2,1,1,2,,,,,,1,1,39,,
100,212,1,1,5,2,2,6,1,6,1,1,4,I cook,1,1,2,2,1,3,1,1,1,15,86,"1,2,3,6",2,1,,,56,,Unknown
100,93,1,1,5,2,2,2,,6,2,2,1,,1,2,2,2,1,2,2,1,1,15,86,2,3,2,,,47,,
100,225,1,2,5,2,2,1,,6,2,1,1,,1,1,1,4,2,3,1,1,2,,,,,,1,1,35,,
100,183,1,1,3,2,2,3,,6,2,2,1,,1,2,2,2,2,2,1,4,1,16,73,"1,6",1,1,,,48,,
100,106,1,2,4,4,2,3,,6,2,1,1,,1,1,1,3,3,3,4,1,1,16,88,"1,2",1,2,,,35,,
100,98,1,2,6,2,2,1,,4,1,2,1,,1,1,1,4,1,2,1,3,2,,,,,,1,1,34,,
100,1300,1,2,5,2,2,2,,6,1,1,1,,2,4,2,2,2,3,1,1,1,15,75,"1,2,6",2,1,,,53,,
100,129,1,2,4,3,2,3,,6,4,3,3,,2,3,2,2,2,3,2,1,1,16,69,"1,2",3,2,,,46,,
100,676,1,2,1,2,2,2,,6,1,3,2,,1,3,2,2,1,2,1,1,2,,,,,,2,2,39,,
100,195,1,1,5,2,2,3,,6,1,1,1,,1,1,2,1,1,1,1,1,2,,,,,,1,1,42,,
100,126,1,1,5,2,2,3,,6,1,1,1,,1,1,1,2,1,1,1,1,2,,,,,,2,3,38,,
100,143,1,1,5,2,2,6,4,6,1,1,5,,1,1,1,1,1,1,1,1,1,16,88,"1,2,3,6",1,2,,,58,,
100,212,1,2,5,2,1,3,,5,1,1,1,,1,3,3,2,1,2,1,1,1,15,80,2,2,1,,,48,,
100,121,1,1,5,2,1,2,,6,2,1,4,,1,2,2,2,2,4,4,1,2,,,,,,1,2,40,,
100,113,1,2,3,1,2,6,1,6,5,1,5,,1,1,1,1,2,2,1,5,2,,,,,,2,1,37,,
100,245,1,2,3,5,2,2,,6,1,1,3,,1,1,2,3,1,4,1,1,1,15,80,"1,2",2,2,,,46,,
100,92,1,1,3,2,2,2,,6,1,2,1,,1,1,3,3,2,4,1,1,1,16,22,2,2,2,,,41,,
100,95,1,2,4,2,2,1,,4,1,1,5,,1,1,2,2,1,1,1,1,1,15,68,"1,2,3,6",1,1,,,56,,
100,107,1,1,5,2,2,2,,6,3,1,1,,2,2,1,2,1,3,1,1,2,,,,,,2,3,37,,
100,183,1,1,4,2,2,2,,6,3,2,4,old student center,1,2,2,4,2,4,1,1,1,16,68,"1,2,3,6",2,1,,,51,,Unknown
100,95,1,2,4,2,2,2,,6,5,1,5,,1,1,3,1,1,2,1,3,1,16,77,2,1,1,,,47,,
100,411,1,1,3,2,2,1,,4,1,2,1,,1,3,1,3,2,2,1,1,1,16,30,"1,6",3,2,,,46,,
100,801,1,2,4,2,2,1,,4,2,1,5,,2,3,1,1,1,2,1,1,1,16,72,3,1,1,,,45,,
100,327,1,1,5,2,2,1,,4,1,1,2,,1,1,1,1,1,3,1,3,1,11,86,"1,6",1,1,,,52,,
100,425,1,1,5,2,2,2,,4,1,3,1,,1,3,2,3,2,2,1,1,1,15,79,"1,2",2,1,,,48,,
79,117,0,2,3,4,2,3,,6,2,1,5,,1,2,3,3,1,3,1,2,1,16,72,"1,2",2,2,,,43,,
100,80,1,2,5,2,2,2,,4,4,2,1,,2,2,2,2,2,2,1,1,1,16,72,"1,2",2,1,,,43,,
100,88,1,1,5,2,2,1,,4,2,2,1,,1,1,2,3,2,2,1,1,1,15,72,"1,2",2,1,,,45,,
100,235,1,1,6,4,2,3,,6,2,1,1,,1,3,3,2,1,2,1,1,1,11,71,"1,2",1,1,,,47,,
100,203,1,2,4,3,2,3,,5,2,2,1,,1,3,1,2,1,3,2,1,2,,,,,,1,4,40,,
100,90,1,1,2,4,2,6,3,6,4,3,2,,4,2,3,2,2,1,1,1,2,,,,,,1,4,47,,
100,444,1,2,1,4,1,3,,6,2,1,2,,1,2,2,1,1,2,2,1,1,16,83,2,1,2,,,42,,
100,5806,1,1,6,2,2,3,,6,1,1,3,,1,2,1,1,1,1,1,3,1,16,59,1,3,1,,,46,,
100,204,1,1,5,2,2,2,,4,2,1,1,,1,1,3,1,1,1,1,1,1,16,60,"2,6",1,1,,,49,,
100,66,1,2,5,2,2,1,,4,1,1,4,,1,1,1,1,1,1,1,2,2,,,,,,2,3,42,,
100,181,1,2,3,2,2,2,,5,2,2,1,,2,4,2,2,2,2,1,1,1,13,73,"1,2",3,1,,,49,,
100,97,1,1,4,4,1,6,4,6,3,1,3,,1,1,2,2,2,2,2,2,1,16,82,2,2,1,,,48,,
100,92,1,1,2,5,2,2,,4,1,1,1,,1,4,2,3,1,3,2,1,1,11,64,"1,2",2,2,,,47,,
100,90,1,2,5,1,2,2,,5,2,2,1,,1,1,1,2,1,2,1,2,1,11,71,"1,2",1,1,,,46,,
100,387,1,1,1,1,2,3,,6,3,2,1,,2,3,3,1,1,3,1,2,1,15,70,"1,2,6",2,1,,,50,,
100,136,1,1,6,1,2,2,,6,2,2,2,,2,2,2,2,2,2,2,1,2,,,,,,1,3,38,,
100,140,1,2,1,3,2,3,,5,3,1,5,,1,1,1,1,2,1,2,2,2,,,,,,2,1,35,,
100,207,1,2,5,2,1,2,,5,5,2,2,,1,1,2,4,1,1,2,1,1,15,90,"2,3",3,1,,,46,,
100,163,1,1,2,4,2,6,1,6,2,1,1,,1,1,1,2,1,3,2,1,1,16,70,"2,3",3,2,,,43,,
100,86,1,2,5,1,2,2,,5,4,1,2,,1,1,4,2,2,1,1,1,1,13,91,1,2,1,,,44,,
100,91,1,2,5,3,2,3,,5,1,1,1,,2,1,1,1,2,3,2,5,2,,,,,,1,1,30,,
100,188,1,1,5,2,2,2,,4,1,2,3,,1,4,2,1,2,1,1,1,1,13,71,1,2,1,,,52,,
100,172,1,2,3,1,2,2,,5,1,2,2,,2,3,3,2,2,1,3,4,1,13,75,"1,2",2,1,,,51,,
100,98,1,2,5,2,2,2,,6,1,1,5,,2,4,2,3,1,2,1,1,1,16,20,1,1,1,,,50,,
100,103,1,2,3,3,1,6,4,6,4,1,1,,2,3,3,2,3,3,1,1,2,,,,,,2,1,37,,
100,142,1,2,2,3,1,3,,6,4,2,3,,2,3,2,1,1,2,1,2,1,15,80,"2,3,6",3,2,,,56,,
100,199,1,1,1,3,2,3,,6,3,1,2,,1,3,3,2,2,2,1,4,1,13,60,"1,3",3,2,,,50,,
100,266,1,1,4,3,2,3,,6,4,2,1,,2,2,3,1,1,1,2,2,2,,,,,,2,2,41,,
100,147,1,1,4,4,2,2,,6,2,1,2,,2,2,1,1,1,2,2,2,1,16,62,"1,3,6",3,1,,,56,,
100,122,1,2,3,3,2,3,,6,2,2,3,,1,4,3,1,1,2,1,3,2,,,,,,2,3,45,,
100,163,1,2,3,1,1,6,4,6,4,1,4,cook by myself,1,1,1,2,4,2,2,3,2,,,,,,1,1,36,,
100,185,1,2,5,3,2,3,,6,3,1,5,,2,3,2,2,2,1,1,1,1,16,85,"1,2",3,2,,,51,,
100,340,1,2,6,3,2,2,,5,2,2,1,,1,1,1,1,1,1,1,1,2,,,,,,1,2,37,,
100,114,1,1,4,3,1,2,,5,1,2,3,,1,2,1,2,1,3,2,1,2,,,,,,1,2,42,,
100,313,1,1,4,4,2,6,1,5,2,2,2,,2,3,2,2,3,3,2,1,1,13,62,1,3,1,,,47,,
100,171,1,2,3,3,2,6,6,6,4,2,1,,3,2,2,1,1,1,1,1,1,15,71,1,4,1,,,52,,
100,135,1,1,5,3,2,3,,5,2,1,4,I usually cook.,2,4,3,2,1,4,1,1,2,,,,,,2,2,43,,
100,99,1,1,1,2,1,2,,4,1,3,1,,2,2,2,3,1,3,2,1,1,13,75,"1,3",3,1,,,47,,
100,148,1,2,3,3,2,3,,6,2,3,3,,1,3,3,1,3,1,1,1,1,16,40,"2,3",3,2,,,52,,
100,137,1,2,5,3,2,3,,6,2,2,2,,2,3,2,2,1,2,1,3,2,,,,,,1,1,46,,
100,241,1,1,5,3,2,3,,5,5,2,1,,1,2,2,1,1,2,1,3,1,16,60,"1,2",3,1,,,48,,
100,55,1,2,6,2,2,2,,5,2,1,2,,2,2,2,1,1,1,1,2,2,,,,,,2,1,37,,
100,183,1,2,2,2,2,1,,4,1,3,1,,2,3,2,4,2,4,1,1,1,13,75,"1,3",3,1,,,46,,
